"Function","Inferred responsibility","Evidence","Confidence"
"FUN_0040ae38","Dialog-procedure trampoline for the gate-label edit dialog GATELABELDLG; stores the active diagram/controller pointer, then delegates dialog handling to FUN_00436748, which edits the selected non-input/output gate object's label text.","Main diagram-entry setup calls FUN_0040ae38(NULL, 0x8008, 0, DAT_0046c1a4), and the function stores param_4 in DAT_0046c4e4. On double-click in the diagram editor, non input/output objects use DialogBoxParamA(..., ""GATELABELDLG"", ..., FUN_0040ae38, selectedIndex), while type 8/9 variable nodes use VARNAMEDLG. FUN_00436748 handles WM_INITDIALOG, saves selected object index, limits edit control 0x43e to 0x10 chars, loads current label from selected object offset 0x50, and writes GetDlgItemTextA(..., 0x43e, ..., 0x11) back before EndDialog(1).","High"
"FUN_0040ae7a","Dialog-procedure trampoline for the modeless Trace Gate Logic dialog TRACEDLG16. It binds the active gate-diagram/function object, then delegates dialog behavior to FUN_00436c32, which displays/toggles input values, recomputes traced gate states, and redraws the diagram with trace coloring.","Call sites invoke FUN_0040ae7a(NULL, 0x8008, 0, DAT_0046c1ac), then CreateDialogParamA(..., ""TRACEDLG16"", ..., FUN_0040ae7a, 0). Menu command 0x152 corresponds to Trace Gate Logic; toggling it creates/destroys this dialog and sends diagram commands 0x8013/0x8014. FUN_0040ae7a stores the object pointer in DAT_0046c4e8 on message 0x8008, otherwise calls FUN_00436c32. The delegate initializes up to 16 input controls 0x45d..0x46c, labels them with ""%s = %d"", toggles truth values, recomputes/redraws, invalidates the diagram window, handles Tracing_logic.htm help, and closes through command 0x152.","High"
"FUN_0040aebc","Dialog-procedure trampoline for the IC Package Info dialog; stores the selected function/model pointer, then delegates dialog initialization/close handling to the model-specific handler that displays precomputed IC package counts.","Main command 0x156 opens DialogBoxParamA(..., ""ICPKGINFO"", ..., FUN_0040aebc, 0) after exactly one function is selected. FUN_0040aebc(NULL, 0x8008, 0, DAT_0046c1ac) stores the active model pointer in DAT_0046c4ec; normal messages delegate to FUN_0042424d, which handles WM_INITDIALOG by setting dialog item 0x43e from this + 0x274 and closes on OK/Cancel. FUN_00423a22 fills that buffer with lines such as IC\\tQty, Hex Inverter, Quad 2-Input NAND, Quad 2-Input MUX, and TOTAL PACKAGES from mapped diagram gate counts.","High"
"FUN_0040aefe","Print dialog hook/trampoline for Logic Friday's custom PRINTDLG template; forwards print-dialog messages to the global print-controller object so the dialog can choose between diagram versus equation printing and open page setup.","Body delegates to FUN_0041c581(&DAT_00453ce8, hwnd, msg, commandId). FUN_0041a687 installs it into PRINTDLGA as the print hook, sets template name ""PRINTDLG"", title ""Logic Friday: Printing"", then calls PrintDlgA. FUN_0041c581 initializes radio buttons 0x425/0x426, disables diagram printing when the selected function has no diagram objects, updates mode field this + 0xc0, and opens PageSetupDlgA through FUN_0041a43b for control 0x424. After PrintDlgA, caller branches to textual equation printing or gate-diagram printing.","High"
"FUN_0040af1b","Print-cancel modeless dialog procedure trampoline for PRNCNCLDLG; it forwards dialog messages to the print controller and lets the user cancel an active print job.","FUN_0041ac36 and FUN_0041b260 create PRNCNCLDLG with CreateDialogParamA(..., FUN_0040af1b, 0) during printing, disable the main window, store the dialog handle at print-controller offset +4, set cancel flag +0xb4 to 0, then call SetAbortProc(..., FUN_0040af38). FUN_0040af1b calls FUN_0041c6a8(&DAT_00453ce8, hwnd, msg). FUN_0041c6a8 sets title ""Logic Friday"" on init and on command sets cancel flag +0xb4 to 1, re-enables owner, destroys the dialog, and clears the handle.","High"
"FUN_0040af38","Win32 printer abort procedure callback for Logic Friday print jobs; pumps the UI message queue during printing and tells GDI whether printing should continue, honoring the print-cancel dialog state.","Body is FUN_0041c712(0x453ce8), using global print/controller object DAT_00453ce8. Both print paths call SetAbortProc(HDC, FUN_0040af38) after creating PRNCNCLDLG and before StartDocA. FUN_0041c712 loops PeekMessageA, routes messages through IsDialogMessageA for the cancel dialog, calls TranslateMessage/DispatchMessageA, and returns cancelFlag == 0. The cancel dialog proc FUN_0040af1b -> FUN_0041c6a8 sets that flag to 1.","High"
"FUN_0040af4f","Dialog procedure wrapper for the NAMESORDERDLG choice dialog used when two functions have the same input variable names but in a different order; lets the caller distinguish cancel, operate by matching variable names, or use raw truth-table input ordering.","Body delegates to FUN_00416425. FUN_00416425 returns TRUE on WM_INITDIALOG, and on WM_COMMAND ends the dialog with result 2, 0x40b, or 0x40c. Call sites pass it to DialogBoxParamA(..., ""NAMESORDERDLG"", ...) after FUN_00416134 returns 1, meaning all input names exist in both functions but at different indexes. Dialog result 0x40b makes caller pass 1 to FUN_004161ea to remap the second function truth-table rows by matching names; result 0x40c keeps direct truth-table ordering; cancel aborts.","High"
"FUN_0040af6c","Dialog procedure wrapper for the compare-functions result dialog COMPRESDLG. It delegates to FUN_004164b1, which displays whether two selected one-output functions are equal, subsets, complements, or unequal, plus counts/labels for shared and function-only truth-table cases; command 0x40e closes with nonzero result so the caller can create/export the comparison result function.","Body delegates to FUN_004164b1(&DAT_00452c50, hwnd, msg, command). Caller FUN_00415dd9 is reached from menu command 0xbb after exactly two functions are selected; it validates same input count and one output, reconciles input ordering if needed, compares truth-table values, sets result fields, then opens DialogBoxParamA(..., ""COMPRESDLG"", ..., FUN_0040af6c, 0). Delegate writes strings such as ""%s equals %s."", ""%s is a subset of %s."", ""%s is the complement of %s."", ""%s is not equal to %s."", ""%s and %s:"", and ""%s only:"" to controls 0x410..0x417.","High"
"FUN_0040af89","Dialog procedure wrapper for the NEWFCNNAME dialog used during function operations to collect the name for a newly created result function. It delegates all behavior to FUN_00416ff2.","Only call site found is DialogBoxParamA(..., ""NEWFCNNAME"", ..., FUN_0040af89, local_20) inside FUN_00416a26 after two selected functions are validated for a function operation. FUN_00416ff2 handles WM_INITDIALOG by storing lParam in DAT_0046c510, limiting edit control 0x418 to 8 chars, initializing the buffer and setting edit text. On OK it reads GetDlgItemTextA(hwnd, 0x418, DAT_0046c510, 9) and EndDialog(..., 1); on cancel it EndDialog(..., 2). Caller copies local_20 into the new function record name field.","High"
"FUN_0040afa6","Win32 dialog procedure wrapper for LOOKUPFCNDLG, the Generate C Lookup Function options dialog. It delegates to FUN_004170c1, which lets the user choose lookup-table packing width and generated C function call style.","Body delegates to FUN_004170c1(&DAT_00452c50, hwnd, msg, wParam, lParam). Caller opens DialogBoxParamA(..., ""LOOKUPFCNDLG"", ..., FUN_0040afa6, 0x4519a4) from Generate C Lookup Function flow; before dialog _DAT_004519b0 is set to selected function input count, and after OK the option block DAT_004519a4 is passed to FUN_004133f5, which writes C lookup functions. FUN_004170c1 initializes radio groups 0x419..0x41c and 0x420..0x423, validates/customizes unsigned-int length 8..64, warns for non-byte-aligned custom lengths, updates the option block, and opens Creating_lookup.htm help.","High"
"FUN_0040afc3","`DiagInWindow` window procedure.","Registered under `""DiagInWindow""` by `FUN_0040145f`; used for diagram-entry interaction.","Medium"
"FUN_0040b004","`DiagOutWindow` window procedure.","Registered under `""DiagOutWindow""` by `FUN_0040145f`; receives application-defined command messages from the main dispatcher.","Medium"
"FUN_0040b055","Dialog procedure for the EQNMODVAR modal notice shown after modifying an equation when the input variable order may have changed; it only closes on OK/Cancel and opens help for variable ordering syntax.","Used only as DialogBoxParamA(..., ""EQNMODVAR"", ..., FUN_0040b055, 0). Body returns TRUE on WM_INITDIALOG, closes with EndDialog(..., 1) for OK and EndDialog(..., 2) for Cancel, and on control 0x490 opens %s\\lf.chm::/Syntax.htm#VarOrder via the HTML Help wrapper. Caller shows it when FUN_0040e7da(oldFunction, newFunction) indicates same variables in a different order and the new equation text does not contain INORDER.","High"
"FUN_0040b12d","Subclass window procedure for the RichEdit logic-equation entry control. It changes the cursor to wait during busy operations and intercepts equation-entry keyboard shortcuts: Enter submits, Ctrl+Enter inserts newline, Escape cancels, and Ctrl+V invokes custom paste; otherwise it forwards to the original RichEdit proc.","FUN_00439623 creates DAT_00452ab0 as a RichEdit-backed text control, then DAT_00452ab0 is subclassed with SetWindowLongA(..., 0x40b12d), saving old proc in DAT_00452918. FUN_0040b12d handles WM_SETCURSOR with wait cursor when busy flags are set. WM_KEYDOWN is handled only when DAT_00452e98 is active during equation entry. Enter posts command 0x8000 to parse/set equation, Escape sends command 0x150 cancel path, Ctrl+V posts command 0xae custom paste path, and unhandled messages call CallWindowProcA(DAT_00452918, ...).","High"
"FUN_0040b2da","Subclass window procedure for the main function-list ListView; while long-running operations are active it forces the wait cursor on WM_SETCURSOR, otherwise it forwards messages to the original ListView procedure.","During main-window initialization, FUN_0040e929 creates DAT_00452ac0 as a SysListView32 with columns such as Function, Inputs, Outputs, False, and Gates; SetWindowLongA(DAT_00452ac0, -4, 0x40b2da) installs this function and stores old proc in DAT_00452aa8. Function handles only WM_SETCURSOR: if busy flags DAT_00452e7c, DAT_00452eb0, DAT_00452eb4, DAT_00452ed0, or DAT_00452ed4 are set, it loads IDC_WAIT and returns 1; otherwise it calls CallWindowProcA(DAT_00452aa8, ...).","High"
"FUN_0040b34e","Subclass window procedure for the truth-table output SysListView32; while long-running operations are active it forces the wait cursor on WM_SETCURSOR, otherwise forwards messages to the original list-view window procedure.","Startup creates two SysListView32 controls via FUN_00417acd; the first handle is DAT_00452ab4, then subclassed with SetWindowLongA(DAT_00452ab4, GWL_WNDPROC, 0x40b34e), storing old proc in DAT_00452aa4. FUN_0040b34e handles WM_SETCURSOR when busy flags are set, calls LoadCursorA(NULL, 0x7f02) / SetCursor, returns 1, and otherwise calls CallWindowProcA(DAT_00452aa4, ...). Main-window notification handling identifies DAT_00452ab4 as truth-table output by loading context menu MENU_TTOUT when focused.","High"
"FUN_0040b3c2","Subclass window procedure for the truth-table entry ListView; intercepts Escape and routes it to the main window as the truth-table cancel command, otherwise delegates to the original ListView window procedure.","Startup FUN_00417acd creates two SysListView32 controls for truth-table UI, then SetWindowLongA(DAT_00452ab8, -4, 0x40b3c2) subclasses the second one and stores old proc in DAT_00452aa0. Body checks WM_KEYDOWN and VK_ESCAPE, sends WM_COMMAND 0xe6 to main window DAT_00452aac, and returns 1; all other messages call CallWindowProcA(DAT_00452aa0, ...). Main command handling treats 0xe6 as the cancel truth-table entry path; resources include truth-table menu items Cancel Esc and Submit Enter.","High"
"FUN_0040b41f","Subclass window procedure that forces the wait cursor over a specific child/control window while long-running Logic Friday operations are active; otherwise forwards messages to the original window procedure.","Installed with DAT_00452a9c = SetWindowLongA(DAT_00452a28, GWL_WNDPROC, 0x40b41f). Body handles only WM_SETCURSOR when busy flags DAT_00452e7c, DAT_00452eb0, DAT_00452eb4, DAT_00452ed0, or DAT_00452ed4 are set, loads IDC_WAIT, calls SetCursor, and returns 1. Otherwise delegates with CallWindowProcA(DAT_00452a9c, ...). Same wait-cursor subclass pattern appears in FUN_0040b12d, FUN_0040b2da, and FUN_0040b34e.","Medium"
"FUN_0040b493","Reset and release the temporary truth-table/function-staging structure, freeing each allocated output truth-table array before clearing the whole 0x1f0-byte block.","Body loops over count at param+0xc8, frees non-null pointers at param+0x84+index*4, then _memset(param,0,0x1f0). Callers pass &DAT_0046c2d0 before rebuilding input names, output names, truth-table row count, and output arrays for generated/test truth tables.","High"
"FUN_0040b4ed","Allocate or find a free function slot.","Called before creating/opening new functions; negative return is treated as allocation failure.","Medium"
"FUN_0040b628","Duplicate the currently selected function into a new function-list slot and initialize the cloned model for use in the UI.","Body grows DAT_004528a4 by one 0x118-byte slot, allocates a 0x2700-byte model, calls FUN_0041cbd4, stores the clone at slot+0x110, copies model dirty/state field from model+0x23c to slot+0x114, clears slot name/path strings, calls FUN_0041def5 to bind the model to the main window/user.genlib path, and returns the new slot index. Main command 0xde calls it after validating exactly one selected function.","High"
"FUN_0040b784","Free/release a function slot.","Called after open/load failure and close/delete flows.","Medium"
"FUN_0040b86b","Function-model destructor/free wrapper: run model cleanup and optionally free the model allocation.","Body calls FUN_0041d5e1, which FunctionsMapping.md maps as function-model cleanup/destruction, then frees this when param_1 bit 0 is set. FUN_0040b784 calls FUN_0040b86b(this,1) when removing a function slot.","High"
"FUN_0040b894","Find a function-list slot by case-insensitive function name.","Body scans DAT_004528a4 from index 0 to DAT_004528a0, compares the slot name at slot base with the supplied string using __stricmp, returns the matching index, or -1 when not found. Callers use FUN_0040b894(""Z"") to locate generated/test function slots.","High"
"FUN_0040b8f0","Resolve function object pointer to slot/index.","Used before saving, close prompts, and filename lookup in `DAT_004528a4`.","Medium"
"FUN_0040b947","MINTEST dialog procedure that collects parameters for the testmin minimization test: input count and percent-true denominator, packed into the caller option word.","DialogBoxParamA opens resource MINTEST with FUN_0040b947 and lParam 0x45bf04. WM_INITDIALOG stores the option pointer and initializes spinner controls 0x3f1/0x3f3 from DAT_004519cc/DAT_004519c8. On OK it reads edit controls 0x3f0/0x3f2, packs high-word inputs and low-word denominator into *DAT_0046c4f8, and ends with 1. Caller later uses those fields for random truth density in the testmin flow.","High"
"FUN_0040ba7d","EQNTEST dialog procedure that collects equation-test generation settings: input count, output count, checkbox option, mode radio choice, and repetition/count value.","DialogBoxParamA opens resource EQNTEST with FUN_0040ba7d and lParam 0x45bf18. WM_INITDIALOG initializes up-down controls 0x484/0x486/0x488, checkbox 0x48d, and radio group 0x42a/0x408/0x42b from DAT_004519dc/DAT_004519d8/DAT_004519d4/DAT_0046c4fc/DAT_004519d0. On OK it writes five values to the option block. Command handler later posts 0x8022 with mode 3 and consumes these settings to generate/check equation test cases.","High"
"FUN_0040bd02","RANDOMTT dialog procedure that asks for the random truth-table percent/density value and returns it as the modal dialog result.","DialogBoxParamA opens resource RANDOMTT with FUN_0040bd02. WM_INITDIALOG initializes spinner 0x475 with range 1..100 and current DAT_004519e0. On OK it reads edit control 0x481 into DAT_004519e0 and EndDialog returns that value; on cancel it returns -1. Caller command 0xe7 treats the result as random truth-table density.","High"
"FUN_0040bdc3","Set status-bar pane 0 text, used for primary application status messages such as Ready, Working, Parsing, Minimizing, Mapping, and Setting equation.","DAT_00452abc is created with CreateStatusWindowA(...,""Ready"",...). FUN_0040bdc3 checks that handle and sends status-bar message 0x401 with wParam 0 and lParam text pointer. Call sites pass status strings such as Ready, Working, Minimizing, and Mapping.","High"
"FUN_0040bde7","Set status-bar pane 1 text, used for secondary progress/counter messages during generated test loops and long operations.","DAT_00452abc is the status window. FUN_0040bde7 checks that handle and sends message 0x401 with wParam 1 and lParam text pointer. Call sites format progress strings such as Count = %d and %d%%: %d before passing them to FUN_0040bde7.","High"
"FUN_0040be0b","Generate and reserve the next unique auto-name from the DAT_0044a700 short name format by advancing the global DAT_0046c504 counter until no function-list entry already uses that name.","Body repeatedly formats local_2c from DAT_0044a700, scans all function-list slots with __stricmp against DAT_004528a4 slot names, increments DAT_0046c504 on collision, and returns the first unused counter value. FUN_00416ff2 calls it before filling NEWFCNNAME; truth-table setup/generation paths also use the same auto-name format.","High"
"FUN_0040be9e","Computes the numeric suffix needed to make a generated function name unique against the global function list; returns 0 when the proposed name is unused, 2 when only the unsuffixed name collides, or max existing suffix + 1 for matching generated names.","Body formats a fixed generated-name prefix into local_24, scans DAT_004528a4 function records using __strnicmp against that prefix, parses trailing number with _atol, tracks maximum, and if no numbered match exists compares each existing function name to param_1 with __stricmp. Callers use the nonzero result before inserting generated function names.","High"
"FUN_0040bfb7","About dialog procedure.","Dialog resource `""ABOUTDLG""` uses this proc; handles hyperlink clicks through `FUN_004013e5`.","Medium"
"FUN_0040c130","Complete or refresh output after external minimization/mapping finishes.","Sets busy flag, updates output view via `FUN_0043983d`, changes status text, calls cleanup/status helpers.","Medium"
"FUN_0040c196","Run Espresso or MISII asynchronously with redirected output and cancellation support.","Builds `%s\\espresso\\espresso.exe` or `%s\\misii\\misii.exe`, creates `%s\\minout.dat`, starts process with inherited stdout/stderr, waits on both cancel event and process, posts completion message `0x8004`/`0x8006`.","High"
"FUN_0040c55b","Run Espresso or MISII synchronously, redirecting output to `minout.dat`.","Same executable selection as `FUN_0040c196`, calls `CreateProcessA`, waits up to 3,600,000 ms, sends `WM_COMMAND 0x8004`/`0x8006`.","High"
"FUN_0040c7c0","Run MISII synchronously for `checkout.dat` generation.","Uses `%s\\misii\\misii.exe`, redirects stdout/stderr to `%s\\checkout.dat`, sends `WM_COMMAND 0x8021`.","High"
"FUN_0040c9df","Check or uncheck a menu item.","Thin wrapper over `CheckMenuItem`.","High"
"FUN_0040ca01","Enable or disable a menu item.","Thin wrapper over `EnableMenuItem`.","High"
"FUN_0040ca22","Dialog procedure for NEWFCNDLG; lets the user choose what kind of new function to create: truth table, logic equation, or gate diagram, with cancel returning -1.","Returns TRUE on WM_INITDIALOG, handles WM_COMMAND IDCANCEL by EndDialog(...,-1), control 0x425 by EndDialog(...,2), control 0x426 by EndDialog(...,1), and control 0x428 by EndDialog(...,0). Caller opens NEWFCNDLG for command 0x81 and maps return 0 to command 0x83, return 1 to 0x82, and return 2 to 0xcd.","High"
"FUN_0040cabd","Modeless GATEPICKDLG2 dialog procedure for the gate-diagram palette; positions the palette beside the main window, loads button icons, forwards palette command clicks to the active diagram-entry window, and closes/cancels diagram entry on OK/Cancel.","WM_INITDIALOG positions the dialog relative to DAT_00452aac and loads image resources into controls 0x42c and 0x42b. WM_COMMAND posts Escape to DAT_00452a98 for OK/Cancel, opens help via main command 0x801b for 0x428, and forwards gate/wire/palette commands such as 0x42b and 0x42c to DAT_00452a98. Created as GATEPICKDLG2 when entering gate-diagram mode.","High"
"FUN_0040cd0c","Create and populate the toolbar.","Creates `ToolbarWindow32`, assigns image lists, adds buttons via toolbar messages.","High"
"FUN_0040cf1c","Refreshes enabled/disabled state of the main toolbar buttons according to current selection, edit mode, busy operations, diagram availability, and active input/output panes.","Called after resize, selection changes, command completion, and diagram updates. It computes busy/edit flags from DAT_00452e7c/DAT_00452eb0/DAT_00452ed8 and DAT_00452e98/DAT_00452e90/DAT_00452e94, queries selected function with FUN_0040f186, checks diagram state via command 0x8016, queries RichEdit state with FUN_00439b85, then calls FUN_0040d2b9 for many toolbar command IDs.","High"
"FUN_0040d2b9","Enables or disables one toolbar button by command ID.","Body sends TB_ENABLEBUTTON (0x411) to toolbar handle DAT_00452a24 with lParam 0x10 when param_2 is 0 and lParam 4 when param_2 is 1. Used by FUN_0040cf1c while refreshing toolbar state.","High"
"FUN_0040d301","Looks up toolbar tooltip/help text for a toolbar command ID.","Scans toolbar definition table entries, compares param_1 to command ID field, and returns the text field. Main WM_NOTIFY handling calls it for tooltip notification code 0xfffffdf8, then copies returned string into the notification text buffer with lstrcpyA.","High"
"FUN_0040d341","Builds and displays the appropriate right-click context menu for the current focused Logic Friday pane, with menu items enabled/checked according to selection, edit mode, busy state, and diagram/truth-table state.","Called from main WM_CONTEXTMENU handler with screen coordinates. It verifies click is inside client area, checks edit/busy flags, determines focus, loads context menus MENU_TTOUT, MENU_LEOUT, MENU_DIAGOUT, MENU_TTIN, MENU_LEIN, or MENU_DIAGIN, enables items through FUN_0040ca01, checks Trace Gate Logic when needed, calls TrackPopupMenu and DestroyMenu, and queries selected/diagram/input state.","High"
"FUN_0040daaf","Normalizes an equation/input text buffer by replacing carriage-return characters with spaces.","Body loops over strlen(param_1) and changes each '\r' to ' '. Called after equation text passes FUN_0040dc71 validation and before multi-output equation parsing through FUN_00413fc6.","High"
"FUN_0040daf0","Validates a variable/function name string for characters that are illegal in Logic Friday names; returns 0 if valid or packed error code 0x1f00XX for the first forbidden character found.","Searches for forbidden characters @, #, double quote, backslash, {, }, &, *, |, +, !, ^, =, and comma, returning packed codes such as 0x1f0040 or 0x1f002c. Used while parsing CSV headers and validating variable/function names.","High"
"FUN_0040dc71","Prevalidates logic-equation text for characters that are illegal in equation input/import text while allowing normal logic operators; returns 0 if valid or packed error code 0x1f00XX for the offending character.","Checks only @, #, double quote, backslash, {, }, and comma, unlike FUN_0040daf0 which also rejects logic operators. Called before equation import/entry parsing; successful validation is followed by parsing/minimization setup, failures pass through packed error-code handling.","High"
"FUN_0040dd2e","Heuristic predicate for whether gate mapping may be slow enough to show the MAPTIME warning dialog.","Called only in Map to Gates command path before MAPTIME dialog and only when WarnMapTime is enabled. Examines selected function model input count, output count, and per-output term counts, returning 1 when counts fall into ranges likely to make mapping expensive.","High"
"FUN_0040e0b2","Dialog procedure for the TTEXPORTWARN warning; OK/Cancel close the dialog and the checkbox disables future truth-table export warnings.","Used as DialogBoxParamA(...,TTEXPORTWARN...,FUN_0040e0b2,0) before exporting multi-output truth tables when WarnTTExport is enabled. Handles WM_INITDIALOG, OK, and Cancel; if checkbox 0x48d is checked it clears DAT_00452ee8, then ends with result 1 or 2.","High"
"FUN_0040e14c","Dialog procedure for the MAPTIME warning; OK/Cancel close the dialog and the checkbox disables future gate-mapping time warnings.","Used as DialogBoxParamA(...,MAPTIME...,FUN_0040e14c,0) when FUN_0040dd2e predicts expensive gate mapping and WarnMapTime is enabled. Handles WM_INITDIALOG, OK, and Cancel; if checkbox 0x48d is checked it clears DAT_00452ee0, then returns result 1 or 2.","High"
"FUN_0040e1e6","Heuristic predicate for whether Espresso minimization may be slow enough to show the MINTIMEDLG warning dialog.","Called in Minimize command path before MINTIMEDLG and only when WarnMinTime is enabled. Checks function input count, output count, and per-output term counts against thresholds such as input counts 0xb..0x10 and term-count cutoffs 0x266, 0x4cc, 0x998, and 0x1330.","High"
"FUN_0040e3cf","Dialog procedure for the MINTIMEDLG warning; OK/Cancel close the dialog and the checkbox disables future minimization time warnings.","Used as DialogBoxParamA(...,MINTIMEDLG...,FUN_0040e3cf,0) when FUN_0040e1e6 predicts expensive minimization and WarnMinTime is enabled. Handles WM_INITDIALOG, OK, and Cancel; if checkbox 0x48d is checked it clears DAT_00452ee4, then ends with result 1 or 2.","High"
"FUN_0040e469","Dialog procedure for the MINDLG minimization options dialog; maps selected radio-button combination to one of four Espresso command modes.","Minimize command opens MINDLG and maps return values 0x3e9, 0x3ea, 0x3eb, and 0x3ec to Espresso commands -Dso, default, -Dso -S1, and -Dexact. Dialog initializes radio groups 0x408/0x409 and 0x42b/0x42c, disables multi-output option group when output count is 1, persists selections on OK, and returns 2 on cancel.","High"
